Q001	Una deﬁnizione accettabile di ergonomia può essere?	L'ergonomia è lo studio delle attività umane e dell'interazione tra persone e strumenti per l'elaborazione dell'informazione. L'ergonomia cognitiva considera processi come percezione, attenzione, memoria e pensiero per progettare strumenti adatti alle capacità e ai limiti degli utenti.	ium flashcard concetti-base ergonomia
Q002	L'usabilità di un sistema...	È il grado in cui un prodotto può essere usato da determinati utenti per raggiungere determinati obiettivi con efficacia, efficienza e soddisfazione in uno specifico contesto d'uso. Non è una proprietà intrinseca del sistema ma dipende dall'interazione reale.	ium flashcard concetti-base usabilita
Q003	A cosa si riferisce l'ISO 9241 quando parla dell'insieme di componenti di un sistema interattivo che forniscono all'utente informazioni e gli permettono di effettuare specifici compiti?	All'interfaccia. Essa funge da punto di incontro e comunicazione bidirezionale tra l'utente (che ha degli obiettivi) e il sistema computazionale.	ium flashcard concetti-base interfaccia
Q004	Un mapping è...	La relazione progettuale (mappatura) tra un controllo, l'azione che esso 'afforda' (suggerisce di fare) e l'effetto che tale azione avrà nel mondo reale o applicativo.	ium flashcard concetti-base mapping
Q005	Il concetto di affordance indica...	Una qualsiasi proprietà fisica o percepita di un oggetto che ne definisce i possibili usi o invita una persona all'azione, suggerendo chiaramente come dovrebbe essere usato.	ium flashcard concetti-base affordance
Q006	Come abbiamo deﬁnito una affordance?	Oltre a invitare visivamente o simbolicamente a un'azione, un'affordance ben progettata suggerisce anche il possibile effetto che quell'azione avrà sul mondo (rendendo chiaro a cosa serve).	ium flashcard concetti-base affordance
Q007	Un constraint è...	Un vincolo progettuale che limita l'azione dell'utente guidandolo verso l'uso corretto. Può essere fisico, logico, semantico o culturale, e serve a prevenire errori chiudendo percorsi errati.	ium flashcard concetti-base constraint
Q008	Un'interfaccia skeuomorﬁca è...	Un'interfaccia grafica progettata con elementi ornamentali e visivi che ricordano pesantemente le strutture e i materiali degli oggetti fisici corrispondenti (es. una calcolatrice digitale con ombre ed effetto metallo, o una cartella di finta pelle).	ium flashcard concetti-base skeuomorfismo
Q009	Una affordance cognitiva dipende...	È un tipo di affordance progettata per aiutare gli utenti nelle loro azioni cognitive, facilitando processi come pensare, decidere, imparare o ricordare.	ium flashcard concetti-base affordance cognitiva
Q010	Quale frase è più corretta riguardo all'automation bias?	L'automation bias è l'eccessiva fiducia riposta nelle risposte di un supporto automatico. Porta a errori di omissione (non notare un problema) e di commissione (seguire attivamente un consiglio sbagliato della macchina).	ium flashcard concetti-base automazione
Q011	L'overconﬁdence è...	La sovraconfidenza, ovvero pensare che il sistema non andrà mai giù, non produrrà mai output scorretti o che dal suo uso non deriverà mai un danno.	ium flashcard concetti-base bias
Q012	Gli errori di giustapposizione sono...	Errori di usabilità causati da un errato design dell'interfaccia che posiziona comandi opposti o critici troppo vicini tra loro, favorendo clic accidentali (es. pulsante 'Salva' adiacente a 'Elimina').	ium flashcard concetti-base errori
Q013	Se un utente è convinto che il sistema che sta usando non potrà mai andare giù o produrre output scorretti, di quale bias si parla?	Overconfidence (sovraconfidenza).	ium flashcard concetti-base bias
Q014	Se la maggior parte delle persone non sapesse eseguire un compito qualora il supporto smettesse di funzionare si parlerebbe di...	Overdependence (sovradipendenza), un fenomeno che porta alla perdita progressiva di abilità umane (deskilling) per eccessivo affidamento alla macchina.	ium flashcard concetti-base bias
Q015	La complacency riguarda...	Il rilassamento dell'attenzione. L'utente dà per scontato che il sistema funzionerà sempre correttamente e smette di vigilare per individuare eventuali anomalie.	ium flashcard concetti-base bias
Q016	La toilette di Floyd è il caso in cui...	Si tende a complicare un'operazione semplice, pretendendo che basti scrivere una lunga procedura testuale per renderla ovvia all'utente, ignorando le carenze di base del design.	ium flashcard concetti-base usabilita
Q017	Una porta di Norman è...	Un oggetto progettato male la cui affordance visiva invita a compiere l'azione opposta a quella richiesta (es. una maniglione da tirare che in realtà va spinto), costringendo a usare cartelli compensativi.	ium flashcard concetti-base usabilita
Q018	I sistemi “wake up and use” sono quelli che...	Sono così auto-esplicativi che un utente può usarli in modo efficace fin dalla primissima volta, senza alcun addestramento o lettura di manuali.	ium flashcard concetti-base usabilita
Q019	Un coltellino svizzero ha...	Alta complessità funzionale (fa tantissime cose), bassa complessità strutturale (è facile capire come è fatto meccanicamente) e alta complessità d'uso (usarlo è scomodo rispetto allo strumento dedicato).	ium flashcard concetti-base complessita
Q020	Un orologio meccanico da parete ha...	Alta complessità strutturale (tantissimi ingranaggi interdipendenti), bassa complessità funzionale (segna solo l'ora) e bassa complessità d'uso (basta guardarlo).	ium flashcard concetti-base complessita
Q021	Un sistema socio-tecnico è:	Un sistema in cui la componente umana/sociale e quella tecnica sono inestricabilmente legate. L'interazione tra queste componenti genera proprietà emergenti e conseguenze imprevedibili che non appartengono alle singole parti.	ium flashcard concetti-base socio-tecnico
Q022	L'affordance cognitiva sono quelle che...	Aiutano gli utenti nelle loro azioni cognitive (pensare, decidere, imparare, ricordare).	ium flashcard concetti-base affordance
Q023	Nel paradigma “alert, identify, direct”, alert signiﬁca...	Costituisce il primo livello di feedback e avverte semplicemente l'utente che 'qualcosa non va', notificando la presenza di un errore o stato anomalo.	ium flashcard concetti-base feedback
Q024	Nel paradigma “alert, identify, direct”, direct signiﬁca...	È l'ultimo livello di gestione dell'errore: fornisce all'utente le istruzioni o l'azione diretta ('fai questo') per risolvere attivamente il problema appena identificato.	ium flashcard concetti-base feedback
Q025	La teoria CASA riguarda?	Computers Are Social Actors (CASA): la teoria secondo cui gli esseri umani tendono in modo naturale e inconsapevole a considerare i computer e le interfacce come attori sociali autonomi, trattandoli con cortesia o rabbia, senza pensare di star comunicando con gli sviluppatori.	ium flashcard concetti-avanzati persuasione casa
Q026	La captologia (o captology) riguarda...	Lo studio dei computer come tecnologie persuasive. Include l'analisi, la progettazione e la teoria di come i sistemi informatici possano essere utilizzati per cambiare deliberatamente le attitudini e i comportamenti degli utenti.	ium flashcard concetti-avanzati persuasione captologia
Q027	Cos'è l'ethopoeia?	È l'attribuzione diretta di attitudini, intenzioni, disposizioni e comportamenti tipicamente umani alle macchine. Si distingue dall'antropomorfizzazione perché l'ethopoeia riguarda il comportamento, non necessariamente la forma fisica o visiva.	ium flashcard concetti-avanzati persuasione ethopoeia
Q028	In semiotica, il livello pragmatico è quello...	Che si concentra sulla relazione tra i segni e gli effetti che essi producono nel mondo reale o sulle persone. Studia il segno come prassi (l'intenzione comunicativa e l'effetto dell'interazione).	ium flashcard concetti-avanzati semiotica pragmatica
Q029	In semiotica un simbolo è...	Un segno in cui la relazione tra il significante (la forma percepibile) e il significato (il concetto) è completamente arbitraria e convenzionale, non basata sulla somiglianza. Deve quindi essere appresa culturalmente (es. la parola 'cane' o un semaforo rosso).	ium flashcard concetti-avanzati semiotica simbolo
Q030	In semiotica una deﬁnizione suﬃcientemente precisa di icona è...	Un segno in cui il significante è percepito come una chiara imitazione del significato, mantenendo una somiglianza visiva, sonora o fisica (es. l'icona di una stampante o della lente di ingrandimento).	ium flashcard concetti-avanzati semiotica icona
Q031	In semiotica l'abduzione è:	Il ragionamento abduttivo è il processo attraverso il quale gli individui generano la migliore ipotesi possibile per interpretare elementi o segni incompleti della realtà che li circonda.	ium flashcard concetti-avanzati semiotica abduzione
Q032	Per Peirce, la semiosi è...	Il processo infinito attraverso cui un segno produce significato. Implica un ragionamento abduttivo continuo in cui generiamo ipotesi per interpretare la realtà, le mettiamo alla prova e, se confermate, diventano regole generali; altrimenti rivediamo le nostre convinzioni.	ium flashcard concetti-avanzati semiotica semiosi
Q033	Quali sono le motivazioni intrinseche e umane supportate da una tecnologia mobile?	Solitamente, l'uso in mobilità supporta motivazioni psicologiche intrinseche (come autonomia, competenza e relazionalità previste dalla Self-Determination Theory) o bisogni fondamentali di socialità e reperimento di informazioni on-the-go.	ium flashcard concetti-avanzati persuasione
Q034	Il paradosso dell'utente attivo (active user paradox) si veriﬁca quando...	L'utente desidera concentrarsi immediatamente sul proprio task procedendo per tentativi ed errori (learning by doing), rifiutandosi attivamente di spendere tempo per leggere manuali o studiare preventivamente il funzionamento del sistema.	ium flashcard valutazione-qualitativa paradosso
Q035	Riguardo alla valutazione qualitativa dell'usabilità di un sistema operativo, quale affermazione è corretta?	Nella valutazione euristica il risultato atteso è un elenco di problemi di usabilità, pesati per livello di gravità (severità) e collegati al principio o euristica che è stata violata.	ium flashcard valutazione-qualitativa euristica
Q036	Se il sistema offre il comando di FLIP-UNDO cosa succede?	Un comando di Flip-Undo tratta l'azione di 'Undo' come qualsiasi altro comando modificabile. Quindi, eseguire un 'Undo' subito dopo un altro 'Undo' annulla l'effetto del primo, ripristinando di fatto l'azione originale (funziona come un Redo involontario).	ium flashcard valutazione-qualitativa undo
Q037	Diffusione del fenomeno del daltonismo	Il daltonismo colpisce circa il 2-8% della popolazione (principalmente maschile). Per questo, in base alle regole di accessibilità e usabilità, è fondamentale non usare il solo colore come mezzo per trasmettere informazioni critiche o distinguere stati.	ium flashcard valutazione-qualitativa accessibilita
Q038	Un sistema modale è un sistema che...	A fronte di una stessa azione o comando compiuto da un utente (es. premere un tasto), reagisce in modo diverso a seconda del 'modo' (stato o modalità) in cui il sistema si trova in quel momento (es. CAPS LOCK attivato).	ium flashcard valutazione-qualitativa sistema modale
Q039	L'output di una valutazione euristica è un elenco di...	Un elenco di problemi di usabilità identificati dagli ispettori, categorizzati in base all'euristica violata e prioritizzati assegnando loro un grado di severità (impatto, frequenza, persistenza).	ium flashcard valutazione-qualitativa output
Q040	Per user experience / esperienza d'uso si intende...	Ciò che una persona prova prima, durante e dopo l'utilizzo di un prodotto o sistema. Ha natura soggettiva (riguarda pensieri e percezioni individuali) ed è dinamica (si modifica nel tempo). Oltre all'usabilità, include affettività, emozione e l'attribuzione di senso e valore.	ium flashcard valutazione-quantitativa ux
Q041	Quali dimensioni sono comprese nella deﬁnizione di usabilità secondo lo standard ISO 9241?	Le tre dimensioni fondamentali sono: Efficacia (capacità di raggiungere l'obiettivo o tasso di successo/errori), Efficienza (risorse spese per raggiungere l'obiettivo, es. tempo o numero di clic) e Soddisfazione (gradimento e comfort nell'uso).	ium flashcard valutazione-quantitativa usabilita
Q042	Per robustezza di un sistema interattivo si intende...	La capacità del sistema di supportare l'utente nel prevenire errori o correggerli facilmente. Un sistema robusto induce un basso tasso di errori critici e garantisce un basso impatto negativo in caso di errore.	ium flashcard valutazione-quantitativa robustezza
Q043	La ricordabilità di un sistema interattivo riguarda...	La facilità con cui un utente occasionale riacquista la competenza necessaria per usare il sistema dopo un certo periodo di inutilizzo, senza dover imparare nuovamente le procedure da zero.	ium flashcard valutazione-quantitativa ricordabilita
Q044	L'ipotesi nulla di un test ipotesi...	È l'ipotesi di base assunta vera in partenza. Solitamente prevede che NON ci sia differenza significativa tra due sistemi A e B, o che non ci sia effetto dovuto alla variabile indipendente manipolata.	ium flashcard statistica ipotesi-nulla
Q045	In statistica inferenziale il livello di signiﬁcatività osservato è...	È il p-value. Indica la probabilità di osservare i dati effettivamente raccolti (o valori ancora più estremi) qualora l'ipotesi nulla H0 fosse vera. Attenzione a non confonderlo con alfa (livello di significatività fissato a priori).	ium flashcard statistica p-value
Q046	In statistica inferenziale, alfa è...	Il livello di significatività fissato a priori (solitamente 0.05). Rappresenta il rischio massimo che siamo disposti a correre di rigettare l'ipotesi nulla quando in realtà è vera (commettere un errore di falso positivo o di Tipo I).	ium flashcard statistica alfa
Q047	In un test statistico per usabilità fare una predizione a due code è indicato quando...	Si vuole semplicemente capire se i due sistemi A e B sono diversi, senza assumere o ipotizzare a priori quale dei due produrrà il risultato migliore o peggiore.	ium flashcard statistica a-due-code
Q048	Il p-value (o livello di signiﬁcatività osservato) è la probabilità di...	Raccogliere dati uguali a quelli appena raccolti nel campione (o ancora più estremi) supponendo che l'ipotesi nulla H0 sia vera.	ium flashcard statistica p-value
Q049	Se il p-value di un test è basso, signiﬁca che...	È altamente improbabile che la differenza osservata nei dati sia dovuta solo al caso se l'ipotesi nulla fosse vera. Se il p-value è inferiore ad alfa, rigettiamo l'ipotesi nulla e accettiamo l'ipotesi alternativa.	ium flashcard statistica p-value
Q050	Quando si può rigettare l'ipotesi nulla?	Quando il livello di significatività osservato (p-value) è rigorosamente inferiore al livello di significatività prefissato a priori (alfa), ad esempio il 5% (0.05).	ium flashcard statistica ipotesi-nulla
Q051	In un test utente, calcolare il tempo necessario ad eseguire un compito correttamente è una misura di...	Efficienza (le risorse e lo sforzo impiegati dall'utente per raggiungere lo scopo).	ium flashcard valutazione-quantitativa efficienza
Q052	In un test utente, il rapporto dei compiti eseguiti correttamente e quelli non eseguiti è una misura di...	Efficacia (la percentuale di successo nel completamento dell'obiettivo).	ium flashcard valutazione-quantitativa efficacia
Q053	Una scala Likert è una scala dove i valori...	Sono di tipo ordinale. Viene chiesto al rispondente di mappare il proprio grado di accordo o disaccordo con un'affermazione proposta (chiamata 'item').	ium flashcard questionari likert
Q054	Un differenziale semantico è...	Un tipo di scala ordinale in cui l'utente valuta un concetto posizionandolo su una scala compresa tra due aggettivi opposti (es. Bello - Brutto, Complicato - Semplice). Le etichette sono solo agli estremi (ancore).	ium flashcard questionari differenziale-semantico
Q055	Il central tendency bias è un bias dovuto a...	La tendenza cognitiva degli utenti di un questionario a preferire i valori o l'opzione centrale della scala (es. 'Né d'accordo né in disaccordo') per pigrizia, evitare di riflettere troppo o non prendere posizioni nette.	ium flashcard questionari bias
Q056	Valutando un NET Promoter Score, quale affermazione è corretta:	Il valore finale dell'NPS si ottiene sottraendo la percentuale dei detrattori (coloro che hanno votato da 0 a 6) dalla percentuale dei promotori (chi ha votato 9 o 10). I passivi (7-8) sono esclusi dal conteggio finale.	ium flashcard questionari nps
Q057	Il NPS (Net Promoter Score) di un prodotto software è...	Un numero da -100 a +100 che equivale alla percentuale di Promotori meno la percentuale di Detrattori. Misura la loyalty, ovvero la raccomandabilità complessiva di un prodotto, con una singola domanda.	ium flashcard questionari nps
Q058	Quando è consigliabile usare un differenziale semantico a sette livelli nella valutazione della dimensione dell'User Experience?	È lo standard tipico per questionari come l'AttrakDiff, dove è richiesto di posizionare un prodotto tra coppie di aggettivi bipolari a sette intervalli per misurare aspetti pragmatici ed edonici.	ium flashcard questionari attrakdiff
Q059	Nel riportare i dati di un test statistico, quando si denota un valore con un asterisco?	Nelle convenzioni più comuni: un asterisco (*) indica che il p-value è significativo al livello del 5% (ovvero 0.01 <= p < 0.05). Due asterischi (**) indicano p < 0.01, tre asterischi (***) indicano p < 0.001.	ium flashcard statistica p-value
Q060	Nella valutazione di un questionario psicometrico la tendenza all'accondiscendenza è...	L'acquiescence bias: un errore sistematico dovuto alla tendenza di alcuni rispondenti a dirsi 'd'accordo' con le affermazioni del ricercatore per cortesia, disattenzione o per compiacere, a prescindere dal contenuto della domanda.	ium flashcard questionari bias
Q061	In uno studio di usabilità, il test statistico di Mann-Whitney è indicato per...	Identificare se esiste una differenza statisticamente significativa tra due gruppi sperimentali indipendenti (es. chi usa il sistema A e chi usa il B) su dati di tipo ordinale o non distribuiti normalmente.	ium flashcard statistica mann-whitney
Q062	Indagini campionaria fa...	Riferimento al processo in cui si analizza un piccolo gruppo (il campione) estratto da un gruppo più vasto. È utile per fare inferenza statistica, ossia desumere informazioni o trarre conclusioni valide per l'intera popolazione originaria.	ium flashcard statistica campione
Q063	Quale affermazione è vera sulla valutazione formativa rispetto a quella summativa?	La formativa viene eseguita durante lo sviluppo iterativo (spesso con metodi qualitativi) per identificare e correggere problemi in corsa. La summativa viene eseguita a prodotto finito per dare un giudizio o misura (quantitativa) di qualità finale.	ium flashcard usabilita valutazione formativa summativa
